keys,zh,en,cht,yue,wyw,jp,kor,spa,fra,th,ara,ru,pt,de,it,el,nl,pl,bul,est,dan,fin,cs,rom,slo,swe,hu,vie
START_GAME,开始游戏,Start Game,開始遊戲,开始游戏,初戏始。,ゲーム開始,게임 시작,Iniciar juego,Démarrer le jeu,เริ่มเกม,بدء اللعبة,Пуск игры,Iniciar Jogo,Spiel starten,Inizia il gioco,Ξεκινήστε το παιχνίδι,Spel starten,Rozpocznij grę,Стартиране на играта,Mängu käivitamine,Start spillet,Aloita peli,Spustit hru,Începe jocul,Začni igro,Starta spelet,Játék indítása,Bắt đầu trò chơi
SKILL_TREE,技能树,Skill Tree,技能樹,散手树,技木。,スキルツリー,스킬 트리,Árbol de Habilidades,Arbre de compétences,ต้นไม้ทักษะ,شجرة المهارات,Дерево навыков,Árvore de habilidades,Fähigkeitsbaum,Albero delle competenze,δέντρο δεξιοτήτων,Vaardigheidsboom,Drzewo umiejętności,Дърво на уменията,Oskuste puu,Færdighedstræ,Taidon puu,Strom dovedností,Copacul abilităților,Drevo spretnosti,Skillträd,készség fa,Cây kỹ năng
SETTINGS,设置,Settings,設定,设置,设,設定,설정,Configuración,Paramètres,การตั้งค่า,إعدادات,Настройки,Configurações,Einstellungen,Impostazioni,Ρυθμίσεις,Instellingen,Ustawienia,Настройки,Seaded,Indstillinger,Asetukset,Nastavení,Setări,Nastavitve,Inställningar,Beállítások,Cài đặt
UNLOCK_ALL_LEVELS,解锁全部关卡,Unlock All Levels,解鎖所有級別,解锁所有级别,锁诸班，,すべてのレベルのロックを解除,모든 레벨을 잠금 해제,Desbloquear todos los niveles,Déverrouiller tous les niveaux,ปลดล็อคทุกระดับ,فتح جميع المستويات,Разблокировать все уровни,Desbloquear todos os níveis,Alle Levels freischalten,Sblocca tutti i livelli,Ξεκλειδώστε όλα τα επίπεδα,Ontgrendel alle niveaus,Odblokuj wszystkie poziomy,Отключване на всички нива,Avage kõik tasemed,Lås op alle niveauer,Avaa kaikki tasot,Odemknout všechny úrovně,Deblocați toate nivelurile,Odkleni vse ravni,Lås upp alla nivåer,Kinyitja az összes szintet,Mở khóa tất cả các cấp độ
GAME_HELP,游戏帮助,Game Help,遊戲幫助,游戏帮助,戏助之。,ゲームヘルプ,게임 도움말,Ayuda del juego,Aide du jeu,เกมช่วยเหลือ,مساعدة اللعبة,Помощь игры,Ajuda do jogo,Spielhilfe,Aiuto del gioco,Βοήθεια παιχνιδιού,Spelhulp,Pomoc w grze,Помощ за играта,Mängu abi,Spilhjælp,Pelin apu,Nápověda o hře,Ajutor pentru joc,Pomoč za igro,Spelhjälp,Játék segítség,Trợ giúp trò chơi
ABOUT,关于,About,關於,关於,别曰：,について,소개,Acerca de,À propos,เกี่ยวกับ,حول,О нас,Sobre,Über uns,A proposito,Σχετικά με,Over ons,O nas,Относно,Meie kohta,Om os,Tietoja,O nás,Despre,O,Om oss,Rólunk,Về
EXIT,退出,Exit,出口,出口,出口，,出口,출구,Salir,Sortie,ออก,الخروج,Выход,Saída,Ausgang,Uscita,Έξοδος,Uitgaan,Wyjście,Излизане,Väljumine,Afslutning,Poistu,Vyjít,Ieșire,Izstop,Avgång,Kijárás,Đi ra
COINS,金币,Coins,硬幣,硬,不强币之币,コイン,동전,Monedas,Pièces,เหรียญ,العملات,Монеты,Moedas,Münzen,Monete,Κέρματα,Munten,Monety,Монети,mündid,Mønter,Kolikoita,mince,monede,Kovanci,Mynt,Érmék,Tiền xu
DIAMONDS,钻石,Diamonds,鑽石,钻石,钻石①,ダイヤモンド,다이아몬드,Diamantes,Diamants,เพชร,الماس,Алмазы,Diamantes,Diamanten,Diamanti,διαμάντια,Diamanten,diamentów,Диаманти,Teemantid,Diamanter,timantteja,diamanty,Diamante,Diamanti,Diamanter,gyémántok,kim cương
WAVE,波次,Wave,波,波,波以波,波,파도는,Onda,Vague,คลื่น,موجة,Волна,Onda,Welle,Onda,κύμα,Golf,Fala,вълна,laine,Bølge,Aalto,vlna,Valul,Valovanje,våg,hullám,sóng
